ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,kwh_2010_05,kwh_2010_06,kwh_2010_07,kwh_2010_08,kwh_2010_09,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
4492,B,4,243.92700000000028,235.09049999999982,237.84450000000007,234.35750000000027,273.71699999999987,259.7470000000002,224.84549999999982,248.42649999999992,232.7625,233.35299999999958,227.0689999999997,237.97849999999974,232.29449999999997,220.66999999999973,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4496,E,E,264.17100000000005,242.26549999999975,235.70299999999992,236.0220000000002,293.00099999999986,255.03999999999988,189.42050000000012,212.3024999999998,213.57900000000018,226.3109999999996,218.2410000000003,234.1259999999997,256.09399999999994,256.2825,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4503,E,E,186.61349999999982,199.0985,264.6319999999997,255.18999999999974,286.4899999999995,460.9275000000004,316.1899999999997,355.5405000000002,477.0865,372.5725,267.3664999999996,244.55650000000014,222.3645,243.60400000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4517,E,E,172.01900000000006,133.20999999999944,184.44699999999986,238.81550000000018,302.94500000000016,364.8479999999992,297.9775,263.23499999999933,198.59550000000004,186.1904999999996,152.14599999999982,144.5374999999998,179.83299999999986,208.0199999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4520,E,E,480.912999999999,436.77800000000025,488.7975,452.5779999999999,514.2449999999999,511.4669999999995,508.39350000000013,524.4704999999997,483.02850000000007,512.953999999999,354.79000000000036,541.7145,525.7019999999994,519.7065,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4528,E,E,218.42250000000007,294.43099999999987,276.619,339.4895000000006,470.2630000000004,579.9915000000005,332.4325000000004,403.40450000000016,388.31749999999977,266.47099999999995,219.16399999999973,227.95749999999992,201.3349999999997,210.918,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4547,E,E,337.68700000000064,311.5894999999998,339.5975000000008,330.7390000000002,367.464,372.93749999999983,238.12100000000027,265.2199999999996,242.45249999999984,246.92650000000032,242.74599999999973,279.5535000000001,269.56199999999995,269.66549999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4562,E,E,241.03700000000015,208.22100000000003,271.70299999999986,361.62699999999944,372.61800000000005,519.9889999999997,440.0329999999992,380.5165000000007,338.4790000000005,298.6555000000005,197.38450000000003,190.2955000000001,233.65300000000042,220.01699999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4575,E,E,237.97250000000008,245.19050000000016,283.635500000001,277.14200000000005,317.8965000000003,318.7460000000004,251.5344999999997,257.2935,248.399,221.5035000000001,266.2145,251.8804999999996,301.6800000000004,234.30550000000028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4593,E,E,908.1030000000006,945.0059999999988,956.3740000000013,1276.6865000000005,1012.3785000000003,1015.9025000000016,846.0209999999988,888.7930000000001,773.0145000000014,753.3644999999997,690.8289999999986,703.5300000000011,583.0569999999988,587.4565000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
