date,year,month,day,hour,minute,hour_cer,day_cer,ym
2009-01-02 00:00:00,2009,1,2,18,0,37,2,2009-01
2009-01-02 00:00:00,2009,1,2,18,30,38,2,2009-01
2009-01-02 00:00:00,2009,1,2,19,0,39,2,2009-01
2009-01-02 00:00:00,2009,1,2,19,30,40,2,2009-01
2009-01-02 00:00:00,2009,1,2,20,0,41,2,2009-01
2009-01-02 00:00:00,2009,1,2,20,30,42,2,2009-01
2009-01-02 00:00:00,2009,1,2,21,0,43,2,2009-01
2009-01-02 00:00:00,2009,1,2,21,30,44,2,2009-01
2009-01-02 00:00:00,2009,1,2,22,0,45,2,2009-01
2009-01-02 00:00:00,2009,1,2,22,30,46,2,2009-01
2009-01-02 00:00:00,2009,1,2,23,0,47,2,2009-01
2009-01-02 00:00:00,2009,1,2,23,30,48,2,2009-01
2009-01-03 00:00:00,2009,1,3,0,0,1,3,2009-01
2009-01-03 00:00:00,2009,1,3,0,30,2,3,2009-01
2009-01-03 00:00:00,2009,1,3,1,0,3,3,2009-01
2009-01-03 00:00:00,2009,1,3,1,30,4,3,2009-01
2009-01-03 00:00:00,2009,1,3,2,0,5,3,2009-01
2009-01-03 00:00:00,2009,1,3,2,30,6,3,2009-01
2009-01-03 00:00:00,2009,1,3,3,0,7,3,2009-01
2009-01-03 00:00:00,2009,1,3,3,30,8,3,2009-01
2009-01-03 00:00:00,2009,1,3,4,0,9,3,2009-01
2009-01-03 00:00:00,2009,1,3,4,30,10,3,2009-01
2009-01-03 00:00:00,2009,1,3,5,0,11,3,2009-01
2009-01-03 00:00:00,2009,1,3,5,30,12,3,2009-01
2009-01-03 00:00:00,2009,1,3,6,0,13,3,2009-01
2009-01-03 00:00:00,2009,1,3,6,30,14,3,2009-01
2009-01-03 00:00:00,2009,1,3,7,0,15,3,2009-01
2009-01-03 00:00:00,2009,1,3,7,30,16,3,2009-01
2009-01-03 00:00:00,2009,1,3,8,0,17,3,2009-01
2009-01-03 00:00:00,2009,1,3,8,30,18,3,2009-01
2009-01-03 00:00:00,2009,1,3,9,0,19,3,2009-01
2009-01-03 00:00:00,2009,1,3,9,30,20,3,2009-01
2009-01-03 00:00:00,2009,1,3,10,0,21,3,2009-01
2009-01-03 00:00:00,2009,1,3,10,30,22,3,2009-01
2009-01-03 00:00:00,2009,1,3,11,0,23,3,2009-01
2009-01-03 00:00:00,2009,1,3,11,30,24,3,2009-01
2009-01-03 00:00:00,2009,1,3,12,0,25,3,2009-01
2009-01-03 00:00:00,2009,1,3,12,30,26,3,2009-01
2009-01-03 00:00:00,2009,1,3,13,0,27,3,2009-01
2009-01-03 00:00:00,2009,1,3,13,30,28,3,2009-01
2009-01-03 00:00:00,2009,1,3,14,0,29,3,2009-01
2009-01-03 00:00:00,2009,1,3,14,30,30,3,2009-01
2009-01-03 00:00:00,2009,1,3,15,0,31,3,2009-01
2009-01-03 00:00:00,2009,1,3,15,30,32,3,2009-01
2009-01-03 00:00:00,2009,1,3,16,0,33,3,2009-01
2009-01-03 00:00:00,2009,1,3,16,30,34,3,2009-01
2009-01-03 00:00:00,2009,1,3,17,0,35,3,2009-01
2009-01-03 00:00:00,2009,1,3,17,30,36,3,2009-01
2009-01-03 00:00:00,2009,1,3,18,0,37,3,2009-01
2009-01-03 00:00:00,2009,1,3,18,30,38,3,2009-01
2009-01-03 00:00:00,2009,1,3,19,0,39,3,2009-01
2009-01-03 00:00:00,2009,1,3,19,30,40,3,2009-01
2009-01-03 00:00:00,2009,1,3,20,0,41,3,2009-01
2009-01-03 00:00:00,2009,1,3,20,30,42,3,2009-01
2009-01-03 00:00:00,2009,1,3,21,0,43,3,2009-01
2009-01-03 00:00:00,2009,1,3,21,30,44,3,2009-01
2009-01-03 00:00:00,2009,1,3,22,0,45,3,2009-01
2009-01-03 00:00:00,2009,1,3,22,30,46,3,2009-01
2009-01-03 00:00:00,2009,1,3,23,0,47,3,2009-01
2009-01-03 00:00:00,2009,1,3,23,30,48,3,2009-01
2009-01-04 00:00:00,2009,1,4,0,0,1,4,2009-01
2009-01-04 00:00:00,2009,1,4,0,30,2,4,2009-01
2009-01-04 00:00:00,2009,1,4,1,0,3,4,2009-01
2009-01-04 00:00:00,2009,1,4,1,30,4,4,2009-01
2009-01-04 00:00:00,2009,1,4,2,0,5,4,2009-01
2009-01-04 00:00:00,2009,1,4,2,30,6,4,2009-01
2009-01-04 00:00:00,2009,1,4,3,0,7,4,2009-01
2009-01-04 00:00:00,2009,1,4,3,30,8,4,2009-01
2009-01-04 00:00:00,2009,1,4,4,0,9,4,2009-01
2009-01-04 00:00:00,2009,1,4,4,30,10,4,2009-01
2009-01-04 00:00:00,2009,1,4,5,0,11,4,2009-01
2009-01-04 00:00:00,2009,1,4,5,30,12,4,2009-01
2009-01-04 00:00:00,2009,1,4,6,0,13,4,2009-01
2009-01-04 00:00:00,2009,1,4,6,30,14,4,2009-01
2009-01-04 00:00:00,2009,1,4,7,0,15,4,2009-01
2009-01-04 00:00:00,2009,1,4,7,30,16,4,2009-01
2009-01-04 00:00:00,2009,1,4,8,0,17,4,2009-01
2009-01-04 00:00:00,2009,1,4,8,30,18,4,2009-01
2009-01-04 00:00:00,2009,1,4,9,0,19,4,2009-01
2009-01-04 00:00:00,2009,1,4,9,30,20,4,2009-01
2009-01-04 00:00:00,2009,1,4,10,0,21,4,2009-01
2009-01-04 00:00:00,2009,1,4,10,30,22,4,2009-01
2009-01-04 00:00:00,2009,1,4,11,0,23,4,2009-01
2009-01-04 00:00:00,2009,1,4,11,30,24,4,2009-01
2009-01-04 00:00:00,2009,1,4,12,0,25,4,2009-01
2009-01-04 00:00:00,2009,1,4,12,30,26,4,2009-01
2009-01-04 00:00:00,2009,1,4,13,0,27,4,2009-01
2009-01-04 00:00:00,2009,1,4,13,30,28,4,2009-01
2009-01-04 00:00:00,2009,1,4,14,0,29,4,2009-01
2009-01-04 00:00:00,2009,1,4,14,30,30,4,2009-01
2009-01-04 00:00:00,2009,1,4,15,0,31,4,2009-01
2009-01-04 00:00:00,2009,1,4,15,30,32,4,2009-01
2009-01-04 00:00:00,2009,1,4,16,0,33,4,2009-01
2009-01-04 00:00:00,2009,1,4,16,30,34,4,2009-01
2009-01-04 00:00:00,2009,1,4,17,0,35,4,2009-01
2009-01-04 00:00:00,2009,1,4,17,30,36,4,2009-01
2009-01-04 00:00:00,2009,1,4,18,0,37,4,2009-01
2009-01-04 00:00:00,2009,1,4,18,30,38,4,2009-01
2009-01-04 00:00:00,2009,1,4,19,0,39,4,2009-01
2009-01-04 00:00:00,2009,1,4,19,30,40,4,2009-01
2009-01-04 00:00:00,2009,1,4,20,0,41,4,2009-01
2009-01-04 00:00:00,2009,1,4,20,30,42,4,2009-01
2009-01-04 00:00:00,2009,1,4,21,0,43,4,2009-01
2009-01-04 00:00:00,2009,1,4,21,30,44,4,2009-01
2009-01-04 00:00:00,2009,1,4,22,0,45,4,2009-01
2009-01-04 00:00:00,2009,1,4,22,30,46,4,2009-01
2009-01-04 00:00:00,2009,1,4,23,0,47,4,2009-01
2009-01-04 00:00:00,2009,1,4,23,30,48,4,2009-01
2009-01-05 00:00:00,2009,1,5,0,0,1,5,2009-01
2009-01-05 00:00:00,2009,1,5,0,30,2,5,2009-01
2009-01-05 00:00:00,2009,1,5,1,0,3,5,2009-01
2009-01-05 00:00:00,2009,1,5,1,30,4,5,2009-01
2009-01-05 00:00:00,2009,1,5,2,0,5,5,2009-01
2009-01-05 00:00:00,2009,1,5,2,30,6,5,2009-01
2009-01-05 00:00:00,2009,1,5,3,0,7,5,2009-01
2009-01-05 00:00:00,2009,1,5,3,30,8,5,2009-01
2009-01-05 00:00:00,2009,1,5,4,0,9,5,2009-01
2009-01-05 00:00:00,2009,1,5,4,30,10,5,2009-01
2009-01-05 00:00:00,2009,1,5,5,0,11,5,2009-01
2009-01-05 00:00:00,2009,1,5,5,30,12,5,2009-01
2009-01-05 00:00:00,2009,1,5,6,0,13,5,2009-01
2009-01-05 00:00:00,2009,1,5,6,30,14,5,2009-01
2009-01-05 00:00:00,2009,1,5,7,0,15,5,2009-01
2009-01-05 00:00:00,2009,1,5,7,30,16,5,2009-01
2009-01-05 00:00:00,2009,1,5,8,0,17,5,2009-01
2009-01-05 00:00:00,2009,1,5,8,30,18,5,2009-01
2009-01-05 00:00:00,2009,1,5,9,0,19,5,2009-01
2009-01-05 00:00:00,2009,1,5,9,30,20,5,2009-01
2009-01-05 00:00:00,2009,1,5,10,0,21,5,2009-01
2009-01-05 00:00:00,2009,1,5,10,30,22,5,2009-01
2009-01-05 00:00:00,2009,1,5,11,0,23,5,2009-01
2009-01-05 00:00:00,2009,1,5,11,30,24,5,2009-01
2009-01-05 00:00:00,2009,1,5,12,0,25,5,2009-01
2009-01-05 00:00:00,2009,1,5,12,30,26,5,2009-01
2009-01-05 00:00:00,2009,1,5,13,0,27,5,2009-01
2009-01-05 00:00:00,2009,1,5,13,30,28,5,2009-01
